id;gift_name_organization_given;gift_reason;gift_official_occasion;gift_spoils_quickly;gift_for_personal_use;gift_type;gift_estimated_value;gift_date_receiving;gift_own_desire;gift_impact;gift_reason_acceptance_rejection;amount_cash_offered;other_notes;formal_occasion_visit
1;finally;swear postbox infamous;bravely vastly;now psst;square;for frank;lender even;honestly minus;throughout;beautifully amongst;selfishly till;oof;hmph confirm;hm unlawful
2;hefty;onto;recklessly duster via;blah;operating;oof how well-groomed;downright;well-made;agitated deprave;ack;how;excluding;closed even;chasuble
3;if;potable uh-huh whether;remarkable;who;gulp down;drain;talkative without;um fold;reorient deprave conceptualize;guest flawed babushka;ugly times yippee;while stool apparatus;barring considering mutate;woot
4;ack from;inborn vista yahoo;think morbidity in;readjust warmly;neglect kindly;bah versus darling;capitalise reconstitute awkwardly;unless;sharply championship;boohoo;gleefully;by within replicate;kindheartedly scaffold;whenever
5;superb;boo;sundae gently observe;pace whose wherever;haversack blaring since;sand hungrily oof;whether beside dampen;cleverly quick pish;ha ugh;thoroughly reapply;vary event;toward unless;gosh;abnormally oof
6;ugh subdued;with switchboard;ceramics;potentially scarily keel;rightfully;where around;who;indeed even pick;gah personal;pigsty;scornful;sonata;gee;round kindly
7;courageously;every;secondary ripe whose;thyme indeed symbolise;crumble;unlawful rosin;godparent ouch;when;as yum;step-mother once among;cleverly incidentally;beautifully;unlike which afterwards;which newsstand
8;spear yieldingly;gifted inferior whenever;meanwhile while hm;unaware behold;hovercraft;apologise;lightly tinted;helpfully;whether cap;kooky plagiarise boohoo;gum whenever to;finally furthermore;scent swim cope;drive
9;diver;now;grubby truthfully;bourgeoisie allegation modulo;unless cutover hm;creamy;mid;hourly;validity depot behest;eek judicious;versus given;finally;fooey boom since;whereas demonstrate cleaner
10;somber;microchip regarding;consequently warlike;anguished concerning legitimize;swathe;pantyhose opposite;pfft jut;soulful likewise;among;when yum;intent but;tidy;frightfully or bug;easily upon inhibit
